step,hp_metric,lr-AdamW,val_mse,val_mono,val_convex,val_excurv,val_loss,epoch,train_mse,train_mono,train_convex,train_excurv,train_loss,test_loss,test/stats/mae_mean,test/stats/mae_std,test/stats/mae_median,test/stats/rmse_mean,test/stats/rmse_std,test/stats/rmse_median,test/stats/r2_mean,test/stats/r2_std,test/stats/r2_median,test/stats/isc_error_abs_mean,test/stats/isc_error_abs_median,test/stats/voc_error_abs_mean,test/stats/voc_error_abs_median,test/stats/voc_prediction_rate
4524,,0.005085253156721592,,,,,,,,,,,,,,,,,,,,,,,,,,
4549,,0.005106071941554546,,,,,,,,,,,,,,,,,,,,,,,,,,
4574,,0.005126451142132282,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,,0.005146387033164501,,,,,,,,,,,,,,,,,,,,,,,,,,
4624,,0.005165875423699617,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,,0.005184912588447332,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,,0.00520349433645606,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,,0.00522161740809679,,,,,,,,,,,,,,,,,,,,,,,,,,
4724,,0.005239278078079224,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,,0.005256473086774349,,,,,,,,,,,,,,,,,,,,,,,,,,
4774,,0.005273198708891869,,,,,,,,,,,,,,,,,,,,,,,,,,
4787,,,0.020499203354120255,2.179077455366496e-05,0.06978625804185867,0.0027907579205930233,0.02046617493033409,5.0,0.024511758238077164,0.00012601613707374781,0.07111196964979172,0.0022595177870243788,0.02440030500292778,,,,,,,,,,,,,,,
4799,,0.005289451684802771,,,,,,,,,,,,,,,,,,,,,,,,,,
4824,,0.0053052292205393314,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,,0.005320527590811253,,,,,,,,,,,,,,,,,,,,,,,,,,
4874,,0.00533534400165081,,,,,,,,,,,,,,,,,,,,,,,,,,
4899,,0.005349676124751568,,,,,,,,,,,,,,,,,,,,,,,,,,
4924,,0.00536351976916194,,,,,,,,,,,,,,,,,,,,,,,,,,
4949,,0.005376873537898064,,,,,,,,,,,,,,,,,,,,,,,,,,
4974,,0.005389734171330929,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,,0.0054020993411540985,,,,,,,,,,,,,,,,,,,,,,,,,,
5024,,0.005413966253399849,,,,,,,,,,,,,,,,,,,,,,,,,,
5049,,0.0054253325797617435,,,,,,,,,,,,,,,,,,,,,,,,,,
5074,,0.005436196457594633,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,,0.005446555558592081,,,,,,,,,,,,,,,,,,,,,,,,,,
5124,,0.005456408020108938,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,,0.005465751513838768,,,,,,,,,,,,,,,,,,,,,,,,,,
5174,,0.005474584177136421,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,,0.005482904613018036,,,,,,,,,,,,,,,,,,,,,,,,,,
5224,,0.00549071142449975,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,,0.005498002283275127,,,,,,,,,,,,,,,,,,,,,,,,,,
5274,,0.005504776258021593,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,,0.005511031486093998,,,,,,,,,,,,,,,,,,,,,,,,,,
5324,,0.005516767501831055,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,,0.005521982908248901,,,,,,,,,,,,,,,,,,,,,,,,,,
5374,,0.005526676308363676,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,,0.0055308472365140915,,,,,,,,,,,,,,,,,,,,,,,,,,
5424,,0.005534494761377573,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,,0.005537617485970259,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,,0.005540215875953436,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,,0.00554228900000453,,,,,,,,,,,,,,,,,,,,,,,,,,
5524,,0.005543835926800966,,,,,,,,,,,,,,,,,,,,,,,,,,
